,Job Title,Company,Location,Experience,Salary,Link
1534,Data Architecture Analyst,Accenture,Bengaluru,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-architecture-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-171125912070
1535,Data Architecture Analyst,Accenture,Bengaluru,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-architecture-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-171125909184
1536,Data Analyst,Hansa Customer Equity Pvt. Ltd.,Mumbai,2-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-hansa-customer-equity-pvt-ltd-mumbai-2-to-3-years-171125504655
1537,Data Analyst,Matrimony com,Chennai,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-matrimony-com-ltd-chennai-3-to-6-years-171125502019
1538,Data Analyst,Pri India It Services,Hybrid - Bengaluru,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-pri-india-it-services-bengaluru-5-to-8-years-171125018591
1539,Data Analyst,Riktam Technology Consulting,Gurugram,1-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-riktam-technology-consulting-gurugram-1-to-5-years-171125018580
1540,Data Analyst,Persistent,Mumbai,4-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-persistent-mumbai-4-to-7-years-171125009427
1541,Data Analysts,Netision Technology,Noida,1-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analysts-netision-technology-llp-noida-1-to-5-years-161025500092
1542,Data Analyst,TLD Group,Bengaluru,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-tld-bengaluru-1-to-3-years-151025503041
1543,Data Analyst L3,Wipro,Pune,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-141125934408
1544,Data Analyst L4,Wipro,Pune,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-pune-5-to-8-years-141125933944
1545,Data Analyst L4,Wipro,Bengaluru,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-bengaluru-5-to-8-years-141125933054
1546,Data Governance Purview Analyst,Leading Client,Nagpur,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-nagpur-8-to-10-years-141125919480
1547,Data Governance Purview Analyst,Leading Client,Lucknow,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-lucknow-8-to-10-years-141125919475
1548,Data Governance Purview Analyst,Leading Client,Surat,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-surat-8-to-10-years-141125919456
1549,Data Governance Purview Analyst,Leading Client,Pune,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-pune-8-to-10-years-141125919448
1550,Data Governance Purview Analyst,Leading Client,Chennai,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-chennai-8-to-10-years-141125919425
1551,Data Analyst,TechBlocks,Ahmedabad,4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-techblocks-consulting-pvt-ltd-ahmedabad-4-to-8-years-141125913854
1552,ServiceNow Developer - CMDB Data Analyst,Shashwath Solution,Mumbai,5-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-servicenow-developer-cmdb-data-analyst-shashwath-solution-mumbai-5-to-7-years-141125911804
